"","date","timestamp","is_open","id","title","announce_date","score","type","status","description","datetime_local","visible_until_utc","time_tbd","date_tbd","url","created_at","popularity","short_title","datetime_utc","datetime_tbd","general_admission","visible_listing_count","average_price","lowest_price_good_deals","median_price","listing_count","lowest_price","highest_price","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","metro_code","postal_code","timezone","has_upcoming_events","id_venue","city","extended_address","display_location","state","score_venue","num_upcoming_events","address","slug","name","url_venue","country","popularity_venue","name_v2","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"1","2018-10-23","2018-10-23_16.06.22",FALSE,4281985,"Troy Trojans at South Alabama Jaguars Football","2018-02-28T00:00:00",0.349,"ncaa_football","normal","","2018-10-23T19:00:00","2018-10-24T04:00:00",FALSE,FALSE,"https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985","2018-02-28T15:00:17",0.544,"Troy at South Alabama","2018-10-24T00:00:00",FALSE,NA,3,78,93,77,7,72,93,NA,NA,NA,686,"36604","America/Chicago",TRUE,3716,"Mobile","Mobile, AL 36604","Mobile, AL","AL",0.50177634,4,"1621 Virginia St.","ladd-peebles-stadium","Ladd Peebles Stadium","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","US",0,"Ladd Peebles Stadium",30.6748,-88.0761,NA,NA,NA
"2","2018-10-23","2018-10-23_16.06.22",FALSE,4347018,"Miami Dolphins at Houston Texans","2018-04-20T00:00:00",0.849,"nfl","normal","","2018-10-25T19:20:00","2018-10-26T04:20:00",FALSE,FALSE,"https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018","2018-04-20T00:47:36",0.866,"Dolphins at Texans","2018-10-26T00:20:00",FALSE,NA,1930,150,45,147,18,45,282,FALSE,"2018-08-24T21:53:38Z","QRCODE",618,"77054","America/Chicago",TRUE,41,"Houston","Houston, TX 77054","Houston, TX","TX",0.8624192,42,"1 Reliant Park","nrg-stadium","NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","US",0,"NRG Stadium",29.6847,-95.4107,FALSE,"2015-11-04T18:42:27Z","QRCODE_TM"
"3","2018-10-23","2018-10-23_16.06.22",FALSE,4347026,"Seattle Seahawks at Detroit Lions","2018-04-20T00:00:00",0.885,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026","2018-04-20T00:47:37",0.885,"Seahawks at Lions","2018-10-28T17:00:00",FALSE,NA,341,142,91,108,214,86,486,FALSE,"2018-08-24T21:53:39Z","QRCODE",505,"48226","America/Detroit",TRUE,346,"Detroit","Detroit, MI 48226","Detroit, MI","MI",0.9029952,10,"2000 Brush St.","ford-field","Ford Field","https://seatgeek.com/venues/ford-field/tickets","US",0,"Ford Field",42.34,-83.0459,FALSE,"2015-11-04T17:31:52Z","NONE"
"4","2018-10-23","2018-10-23_16.06.22",FALSE,4347041,"Tampa Bay Buccaneers at Cincinnati Bengals","2018-04-20T00:00:00",0.83,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041","2018-04-20T00:47:40",0.844,"Buccaneers at Bengals","2018-10-28T17:00:00",FALSE,NA,879,86.597374,42,78,457,40,341,FALSE,"2018-08-24T21:53:39Z","QRCODE",515,"45202","America/New_York",TRUE,1124,"Cincinnati","Cincinnati, OH 45202","Cincinnati, OH","OH",0.86166537,5,"1 Paul Brown Stadium","paul-brown-stadium","Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","US",0,"Paul Brown Stadium",39.0961,-84.5177,FALSE,"2015-10-09T16:14:37Z","QRCODE_TM"
"5","2018-10-23","2018-10-23_16.06.22",FALSE,4346940,"Washington Redskins at New York Giants","2018-04-20T00:00:00",0.891,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940","2018-04-20T00:47:17",0.889,"Redskins at Giants","2018-10-28T17:00:00",FALSE,NA,1568,272,80,214,165,87,1011,FALSE,"2018-08-24T21:53:39Z","QRCODE",501,"07073","America/New_York",TRUE,1587,"East Rutherford","East Rutherford, NJ 07073","East Rutherford, NJ","NJ",0.94873494,11,"1 MetLife Stadium Drive","metlife-stadium","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",0,"MetLife Stadium",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"6","2018-10-23","2018-10-23_16.06.22",FALSE,4347070,"Baltimore Ravens at Carolina Panthers","2018-04-20T00:00:00",0.863,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070","2018-04-20T00:47:45",0.868,"Ravens at Panthers","2018-10-28T17:00:00",FALSE,NA,1279,231,102,203,224,102,626,FALSE,"2018-08-24T21:53:39Z","QRCODE",517,"28202","America/New_York",TRUE,1122,"Charlotte","Charlotte, NC 28202","Charlotte, NC","NC",0.8968222,8,"800 South Mint Street","bank-of-america-stadium","Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","US",0,"Bank of America Stadium",35.2243,-80.8524,FALSE,"2015-09-25T18:23:51Z","QRCODE_TM"
"7","2018-10-23","2018-10-23_16.06.22",FALSE,4346981,"Denver Broncos at Kansas City Chiefs","2018-04-20T00:00:00",0.891,"nfl","normal","","2018-10-28T12:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981","2018-04-20T00:47:27",0.885,"Broncos at Chiefs","2018-10-28T17:00:00",FALSE,NA,792,242,133,212,552,129,706,FALSE,"2018-08-24T21:53:39Z","QRCODE",616,"64129","America/Chicago",TRUE,1128,"Kansas City","Kansas City, MO 64129","Kansas City, MO","MO",0.8827867,5,"1 Arrowhead Drive","arrowhead-stadium","Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","US",0,"Arrowhead Stadium",39.0489,-94.4839,FALSE,"2015-08-20T16:20:51Z","QRCODE_TM"
"8","2018-10-23","2018-10-23_16.06.22",FALSE,4347078,"Cleveland Browns at Pittsburgh Steelers","2018-04-20T00:00:00",0.864,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078","2018-04-20T00:47:46",0.864,"Browns at Steelers","2018-10-28T17:00:00",FALSE,NA,736,293,125,261,157,125,1002,FALSE,"2018-08-24T21:53:39Z","QRCODE",508,"15212","America/New_York",TRUE,1119,"Pittsburgh","Pittsburgh, PA 15212","Pittsburgh, PA","PA",0.9033526,7,"100 Art Rooney Avenue","heinz-field","Heinz Field","https://seatgeek.com/venues/heinz-field/tickets","US",0,"Heinz Field",40.4468,-80.0158,FALSE,"2018-10-04T12:42:28Z","QRCODE"
"9","2018-10-23","2018-10-23_16.06.22",FALSE,4347007,"New York Jets at Chicago Bears","2018-04-20T00:00:00",0.879,"nfl","normal","","2018-10-28T12:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007","2018-04-20T00:47:33",0.879,"Jets at Bears","2018-10-28T17:00:00",FALSE,NA,915,328,164,310,70,164,662,FALSE,"2018-08-24T21:53:39Z","QRCODE",602,"60605","America/Chicago",TRUE,31,"Chicago","Chicago, IL 60605","Chicago, IL","IL",0.940013,7,"1410 S. Museum Campus Drive","soldier-field","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","US",0,"Soldier Field",41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"10","2018-10-23","2018-10-23_16.06.22",FALSE,4347153,"Indianapolis Colts at Oakland Raiders","2018-04-20T00:00:00",0.842,"nfl","normal","","2018-10-28T13:05:00","2018-10-29T00:05:00",FALSE,FALSE,"https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153","2018-04-20T01:04:25",0.852,"Colts at Raiders","2018-10-28T20:05:00",FALSE,NA,1811,122,47,115,354,49,419,FALSE,"2018-08-24T21:53:39Z","QRCODE",807,"94621","America/Los_Angeles",TRUE,14,"Oakland","Oakland, CA 94621","Oakland, CA","CA",0.7817843,9,"7000 Coliseum Way","oakland-alameda-county-coliseum","Oakland-Alameda County Coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","US",0,"Oakland-Alameda County Coliseum",37.7469,-122.201,FALSE,"2015-06-24T00:00:00Z","PDF417"
