"","timestamp","is_open","id","title","announce_date","score","type","status","description","datetime_local","visible_until_utc","time_tbd","date_tbd","url","created_at","popularity","short_title","datetime_utc","datetime_tbd","general_admission","visible_listing_count","average_price","lowest_price_good_deals","median_price","listing_count","lowest_price","highest_price","employee_only","created_at","method","metro_code","postal_code","timezone","has_upcoming_events","id","city","extended_address","display_location","state","score","num_upcoming_events","address","slug","name","url","country","popularity","name_v2","lat","lon","employee_only","created_at","method"
"1","2018-10-24_08.27.20",FALSE,4347018,"Miami Dolphins at Houston Texans","2018-04-20T00:00:00",0.881,"nfl","normal","","2018-10-25T19:20:00","2018-10-26T04:20:00",FALSE,FALSE,"https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018","2018-04-20T00:47:36",0.889,"Dolphins at Texans","2018-10-26T00:20:00",FALSE,NA,1905,101,41,77,354,41,540,FALSE,"2018-08-24T21:53:38Z","QRCODE",618,"77054","America/Chicago",TRUE,41,"Houston","Houston, TX 77054","Houston, TX","TX",0.8624192,42,"1 Reliant Park","nrg-stadium","NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","US",0,"NRG Stadium",29.6847,-95.4107,FALSE,"2015-11-04T18:42:27Z","QRCODE_TM"
"2","2018-10-24_08.27.20",FALSE,4347041,"Tampa Bay Buccaneers at Cincinnati Bengals","2018-04-20T00:00:00",0.858,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041","2018-04-20T00:47:40",0.864,"Buccaneers at Bengals","2018-10-28T17:00:00",FALSE,NA,870,79,40,74,443,39,335,FALSE,"2018-08-24T21:53:39Z","QRCODE",515,"45202","America/New_York",TRUE,1124,"Cincinnati","Cincinnati, OH 45202","Cincinnati, OH","OH",0.86166537,5,"1 Paul Brown Stadium","paul-brown-stadium","Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","US",0,"Paul Brown Stadium",39.0961,-84.5177,FALSE,"2015-10-09T16:14:37Z","QRCODE_TM"
"3","2018-10-24_08.27.20",FALSE,4347026,"Seattle Seahawks at Detroit Lions","2018-04-20T00:00:00",0.917,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026","2018-04-20T00:47:37",0.907,"Seahawks at Lions","2018-10-28T17:00:00",FALSE,NA,334,141.30621,91,109,209,86,485,FALSE,"2018-08-24T21:53:39Z","QRCODE",505,"48226","America/Detroit",TRUE,346,"Detroit","Detroit, MI 48226","Detroit, MI","MI",0.9029952,10,"2000 Brush St.","ford-field","Ford Field","https://seatgeek.com/venues/ford-field/tickets","US",0,"Ford Field",42.34,-83.0459,FALSE,"2015-11-04T17:31:52Z","NONE"
"4","2018-10-24_08.27.20",FALSE,4346940,"Washington Redskins at New York Giants","2018-04-20T00:00:00",0.929,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940","2018-04-20T00:47:17",0.915,"Redskins at Giants","2018-10-28T17:00:00",FALSE,NA,1624,248,82,202,152,97,1012,FALSE,"2018-08-24T21:53:39Z","QRCODE",501,"07073","America/New_York",TRUE,1587,"East Rutherford","East Rutherford, NJ 07073","East Rutherford, NJ","NJ",0.94873494,11,"1 MetLife Stadium Drive","metlife-stadium","MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US",0,"MetLife Stadium",40.8142,-74.0737,FALSE,"2015-09-12T14:14:07Z","QRCODE_TM"
"5","2018-10-24_08.27.20",FALSE,4347070,"Baltimore Ravens at Carolina Panthers","2018-04-20T00:00:00",0.892,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070","2018-04-20T00:47:45",0.887,"Ravens at Panthers","2018-10-28T17:00:00",FALSE,NA,1282,227.84576,102,194,201,92,570,FALSE,"2018-08-24T21:53:39Z","QRCODE",517,"28202","America/New_York",TRUE,1122,"Charlotte","Charlotte, NC 28202","Charlotte, NC","NC",0.8968222,8,"800 South Mint Street","bank-of-america-stadium","Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","US",0,"Bank of America Stadium",35.2243,-80.8524,FALSE,"2015-09-25T18:23:51Z","QRCODE_TM"
"6","2018-10-24_08.27.20",FALSE,4347078,"Cleveland Browns at Pittsburgh Steelers","2018-04-20T00:00:00",0.901,"nfl","normal","","2018-10-28T13:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078","2018-04-20T00:47:46",0.89,"Browns at Steelers","2018-10-28T17:00:00",FALSE,NA,755,293,117,263,168,134,1004,FALSE,"2018-08-24T21:53:39Z","QRCODE",508,"15212","America/New_York",TRUE,1119,"Pittsburgh","Pittsburgh, PA 15212","Pittsburgh, PA","PA",0.9033526,7,"100 Art Rooney Avenue","heinz-field","Heinz Field","https://seatgeek.com/venues/heinz-field/tickets","US",0,"Heinz Field",40.4468,-80.0158,FALSE,"2018-10-04T12:42:28Z","QRCODE"
"7","2018-10-24_08.27.20",FALSE,4346981,"Denver Broncos at Kansas City Chiefs","2018-04-20T00:00:00",0.926,"nfl","normal","","2018-10-28T12:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981","2018-04-20T00:47:27",0.908,"Broncos at Chiefs","2018-10-28T17:00:00",FALSE,NA,758,245,132,212,513,132,668,FALSE,"2018-08-24T21:53:39Z","QRCODE",616,"64129","America/Chicago",TRUE,1128,"Kansas City","Kansas City, MO 64129","Kansas City, MO","MO",0.8827867,5,"1 Arrowhead Drive","arrowhead-stadium","Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","US",0,"Arrowhead Stadium",39.0489,-94.4839,FALSE,"2015-08-20T16:20:51Z","QRCODE_TM"
"8","2018-10-24_08.27.20",FALSE,4347007,"New York Jets at Chicago Bears","2018-04-20T00:00:00",0.919,"nfl","normal","","2018-10-28T12:00:00","2018-10-28T21:00:00",FALSE,FALSE,"https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007","2018-04-20T00:47:33",0.906,"Jets at Bears","2018-10-28T17:00:00",FALSE,NA,930,313,132,298,71,132,563,FALSE,"2018-08-24T21:53:39Z","QRCODE",602,"60605","America/Chicago",TRUE,31,"Chicago","Chicago, IL 60605","Chicago, IL","IL",0.940013,7,"1410 S. Museum Campus Drive","soldier-field","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets","US",0,"Soldier Field",41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"9","2018-10-24_08.27.20",FALSE,4347153,"Indianapolis Colts at Oakland Raiders","2018-04-20T00:00:00",0.872,"nfl","normal","","2018-10-28T13:05:00","2018-10-29T00:05:00",FALSE,FALSE,"https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153","2018-04-20T01:04:25",0.873,"Colts at Raiders","2018-10-28T20:05:00",FALSE,NA,1827,118,42,115,338,42,420,FALSE,"2018-08-24T21:53:39Z","QRCODE",807,"94621","America/Los_Angeles",TRUE,14,"Oakland","Oakland, CA 94621","Oakland, CA","CA",0.7817843,9,"7000 Coliseum Way","oakland-alameda-county-coliseum","Oakland-Alameda County Coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","US",0,"Oakland-Alameda County Coliseum",37.7469,-122.201,FALSE,"2015-06-24T00:00:00Z","PDF417"
"10","2018-10-24_08.27.20",FALSE,4346921,"Green Bay Packers at Los Angeles Rams","2018-04-20T00:00:00",0.953,"nfl","normal","","2018-10-28T13:25:00","2018-10-29T00:25:00",FALSE,FALSE,"https://seatgeek.com/packers-at-rams-tickets/10-28-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346921","2018-04-20T00:47:14",0.927,"Packers at Rams","2018-10-28T20:25:00",FALSE,NA,1315,374.30872,187,332,298,204,1017,FALSE,"2018-08-24T21:53:39Z","QRCODE",0,"90037","America/Los_Angeles",TRUE,51012,"Los Angeles","Los Angeles, CA 90037","Los Angeles, CA","CA",0.86898464,8,"3911 S Figueroa St","los-angeles-memorial-coliseum-1","Los Angeles Memorial Coliseum","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","US",0,"Los Angeles Memorial Coliseum",34.0138,-118.288,FALSE,"2018-08-23T17:59:28Z","QRCODE"
"11","2018-10-24_08.27.20",FALSE,4347101,"San Francisco 49ers at Arizona Cardinals","2018-04-20T00:00:00",0.909,"nfl","normal","","2018-10-28T13:25:00","2018-10-29T00:25:00",FALSE,FALSE,"https://seatgeek.com/49ers-at-cardinals-tickets/10-28-2018-glendale-arizona-state-farm-stadium/nfl/4347101","2018-04-20T00:47:51",0.899,"49ers at Cardinals","2018-10-28T20:25:00",FALSE,NA,1199,104.98711,41,85,543,41,607,FALSE,"2018-08-24T21:53:39Z","QRCODE",753,"85305","America/Phoenix",TRUE,43,"Glendale","Glendale, AZ 85305","Glendale, AZ","AZ",0.93402725,9,"1 Cardinals Drive","state-farm-stadium","State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","US",0,"State Farm Stadium",33.5294,-112.262,FALSE,"2015-12-21T17:26:05Z","NONE"
"12","2018-10-24_08.27.20",FALSE,4347136,"New Orleans Saints at Minnesota Vikings","2018-04-20T00:00:00",0.918,"nfl","normal","","2018-10-28T19:20:00","2018-10-29T04:20:00",FALSE,FALSE,"https://seatgeek.com/saints-at-vikings-tickets/10-28-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347136","2018-04-20T01:04:04",0.902,"Saints at Vikings","2018-10-29T00:20:00",FALSE,NA,1323,279.6367,110,246,278,110,943,FALSE,"2018-08-24T21:53:39Z","QRCODE",0,"55415","America/Chicago",TRUE,218451,"Minneapolis","Minneapolis, MN 55415","Minneapolis, MN","MN",0.88524246,13,"401 Chicago Avenue","u-s-bank-stadium","U.S. Bank Stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","US",0,"U.S. Bank Stadium",44.97,-93.26,FALSE,"2018-08-22T15:34:15Z","NONE"
"13","2018-10-24_08.27.20",FALSE,4347062,"New England Patriots at Buffalo Bills","2018-04-20T00:00:00",0.92,"nfl","normal","","2018-10-29T20:15:00","2018-10-30T04:15:00",FALSE,FALSE,"https://seatgeek.com/patriots-at-bills-tickets/10-29-2018-orchard-park-new-york-new-era-field/nfl/4347062","2018-04-20T00:47:44",0.891,"Patriots at Bills","2018-10-30T00:15:00",FALSE,NA,1365,133.8371,58,104,442,66,385,FALSE,"2018-08-24T21:53:39Z","QRCODE",514,"14127","America/New_York",TRUE,1135,"Orchard Park","Orchard Park, NY 14127","Orchard Park, NY","NY",0.8815085,6,"1 Bills Drive","new-era-field","New Era Field","https://seatgeek.com/venues/new-era-field/tickets","US",0,"New Era Field",42.7737,-78.7874,FALSE,"2015-08-12T16:52:53Z","QRCODE_TM"
