is_open,id,title,announce_date,score,type,status,description,datetime_local,visible_until_utc,time_tbd,date_tbd,url,created_at,popularity,short_title,datetime_utc,datetime_tbd,general_admission,visible_listing_count,average_price,lowest_price_good_deals,median_price,listing_count,lowest_price,highest_price,employee_only,created_at,method,metro_code,postal_code,timezone,has_upcoming_events,id,city,extended_address,display_location,state,score,num_upcoming_events,address,slug,name,url,country,popularity,name_v2,lat,lon,employee_only,created_at,method
FALSE,4347075,Carolina Panthers at Pittsburgh Steelers,2018-04-20T00:00:00,0.883,nfl,normal,,2018-11-08T20:20:00,2018-11-09T05:20:00,FALSE,FALSE,https://seatgeek.com/panthers-at-steelers-tickets/11-8-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347075,2018-04-20T00:47:46,0.912,Panthers at Steelers,2018-11-09T01:20:00,FALSE,NA,1613,186,57,169,173,57,451,FALSE,2018-08-24T21:53:39Z,QRCODE,508,15212,America/New_York,TRUE,1119,Pittsburgh,"Pittsburgh, PA 15212","Pittsburgh, PA",PA,0.9033526,5,100 Art Rooney Avenue,heinz-field,Heinz Field,https://seatgeek.com/venues/heinz-field/tickets,US,0,Heinz Field,40.4468,-80.0158,FALSE,2018-10-04T12:42:28Z,QRCODE
FALSE,4346990,New England Patriots at Tennessee Titans,2018-04-20T00:00:00,0.94,nfl,normal,,2018-11-11T12:00:00,2018-11-11T21:00:00,FALSE,FALSE,https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990,2018-04-20T00:47:30,0.948,Patriots at Titans,2018-11-11T17:00:00,FALSE,NA,789,593,273,503,157,273,2332,FALSE,2018-08-24T21:53:40Z,QRCODE,659,37213,America/New_York,TRUE,1126,Nashville,"Nashville, TN 37213","Nashville, TN",TN,0.8546275,15,1 Titans Way,nissan-stadium,Nissan Stadium,https://seatgeek.com/venues/nissan-stadium/tickets,US,0,Nissan Stadium,36.1665,-86.7713,FALSE,2015-10-19T15:09:39Z,NONE
FALSE,4346980,Arizona Cardinals at Kansas City Chiefs,2018-04-20T00:00:00,0.887,nfl,normal,,2018-11-11T12:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980,2018-04-20T00:47:27,0.91,Cardinals at Chiefs,2018-11-11T18:00:00,FALSE,NA,859,183,93,180,451,93,386,FALSE,2018-08-24T21:53:40Z,QRCODE,616,64129,America/Chicago,TRUE,1128,Kansas City,"Kansas City, MO 64129","Kansas City, MO",MO,0.8827867,4,1 Arrowhead Drive,arrowhead-stadium,Arrowhead Stadium,https://seatgeek.com/venues/arrowhead-stadium/tickets,US,0,Arrowhead Stadium,39.0489,-94.4839,FALSE,2015-08-20T16:20:51Z,QRCODE_TM
FALSE,4347040,New Orleans Saints at Cincinnati Bengals,2018-04-20T00:00:00,0.881,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040,2018-04-20T00:47:40,0.908,Saints at Bengals,2018-11-11T18:00:00,FALSE,NA,665,56038.504,78,108,193,58,10790613,FALSE,2018-08-24T21:53:40Z,QRCODE,515,45202,America/New_York,TRUE,1124,Cincinnati,"Cincinnati, OH 45202","Cincinnati, OH",OH,0.86166537,4,1 Paul Brown Stadium,paul-brown-stadium,Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,US,0,Paul Brown Stadium,39.0961,-84.5177,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
FALSE,4347006,Detroit Lions at Chicago Bears,2018-04-20T00:00:00,0.917,nfl,normal,,2018-11-11T12:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006,2018-04-20T00:47:32,0.933,Lions at Bears,2018-11-11T18:00:00,FALSE,NA,959,346.013,130,314,77,139,939,FALSE,2018-08-24T21:53:40Z,QRCODE,602,60605,America/Chicago,TRUE,31,Chicago,"Chicago, IL 60605","Chicago, IL",IL,0.940013,5,1410 S. Museum Campus Drive,soldier-field,Soldier Field,https://seatgeek.com/venues/soldier-field/tickets,US,0,Soldier Field,41.8623,-87.6159,FALSE,2018-06-02T00:44:08Z,NONE
FALSE,4346958,Jacksonville Jaguars at Indianapolis Colts,2018-04-20T00:00:00,0.835,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958,2018-04-20T00:47:22,0.876,Jaguars at Colts,2018-11-11T18:00:00,FALSE,NA,1311,95,25,80,460,27,850,FALSE,2018-08-24T21:53:40Z,QRCODE,527,46225,America/Indiana/Indianapolis,TRUE,1130,Indianapolis,"Indianapolis, IN 46225","Indianapolis, IN",IN,0.9071682,10,500 South Capitol Avenue,lucas-oil-stadium,Lucas Oil Stadium,https://seatgeek.com/venues/lucas-oil-stadium/tickets,US,0,Lucas Oil Stadium,39.7601,-86.1639,FALSE,2018-09-13T22:29:37Z,QRCODE_TM
FALSE,4346930,Washington Redskins at Tampa Bay Buccaneers,2018-04-20T00:00:00,0.878,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930,2018-04-20T00:47:16,0.906,Redskins at Buccaneers,2018-11-11T18:00:00,FALSE,NA,1171,161,81,158,20,81,266,FALSE,2018-08-24T21:53:40Z,QRCODE,539,33607,America/New_York,TRUE,39,Tampa,"Tampa, FL 33607","Tampa, FL",FL,0.86513025,11,4201 North Dale Mabry Highway,raymond-james-stadium,Raymond James Stadium,https://seatgeek.com/venues/raymond-james-stadium/tickets,US,0,Raymond James Stadium,27.9753,-82.5034,FALSE,2015-08-24T14:44:53Z,QRCODE_TM
FALSE,4347060,Buffalo Bills at New York Jets,2018-04-20T00:00:00,0.9,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060,2018-04-20T00:47:43,0.926,Bills at Jets,2018-11-11T18:00:00,FALSE,NA,1507,140,45,113,650,50,3246,FALSE,2018-08-24T21:53:40Z,QRCODE,501,07073,America/New_York,TRUE,1587,East Rutherford,"East Rutherford, NJ 07073","East Rutherford, NJ",NJ,0.94873494,10,1 MetLife Stadium Drive,metlife-stadium,MetLife Stadium,https://seatgeek.com/venues/metlife-stadium/tickets,US,0,MetLife Stadium,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
FALSE,4346996,Atlanta Falcons at Cleveland Browns,2018-04-20T00:00:00,0.856,nfl,normal,,2018-11-11T13:00:00,2018-11-11T22:00:00,FALSE,FALSE,https://seatgeek.com/falcons-at-browns-tickets/11-11-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346996,2018-04-20T00:47:31,0.894,Falcons at Browns,2018-11-11T18:00:00,FALSE,NA,1288,77,32,59,557,32,371,FALSE,2018-08-24T21:53:40Z,QRCODE,510,44114,America/New_York,TRUE,1123,Cleveland,"Cleveland, OH 44114","Cleveland, OH",OH,0.86852187,4,100 Alfred Lerner Way,firstenergy-stadium-15,FirstEnergy Stadium,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,US,0,FirstEnergy Stadium,41.5065,-81.7,FALSE,2015-11-11T20:55:31Z,NONE
FALSE,4347130,Los Angeles Chargers at Oakland Raiders,2018-04-20T00:00:00,0.881,nfl,normal,,2018-11-11T13:05:00,2018-11-12T01:05:00,FALSE,FALSE,https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130,2018-04-20T00:47:56,0.907,Chargers at Raiders,2018-11-11T21:05:00,FALSE,NA,1766,127.629745,39,121,316,39,347,FALSE,2018-08-24T21:53:40Z,QRCODE,807,94621,America/Los_Angeles,TRUE,14,Oakland,"Oakland, CA 94621","Oakland, CA",CA,0.7817843,87,7000 Coliseum Way,oakland-alameda-county-coliseum,Oakland-Alameda County Coliseum,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,US,0,Oakland-Alameda County Coliseum,37.7469,-122.201,FALSE,2015-06-24T00:00:00Z,PDF417
