is_open,id,title,announce_date,score,type,status,description,datetime_local,visible_until_utc,time_tbd,date_tbd,url,created_at,popularity,short_title,datetime_utc,datetime_tbd,general_admission,visible_listing_count,average_price,lowest_price_good_deals,median_price,listing_count,lowest_price,highest_price,employee_only,created_at,method,metro_code,postal_code,timezone,has_upcoming_events,id,city,extended_address,display_location,state,score,num_upcoming_events,address,slug,name,url,country,popularity,name_v2,lat,lon,employee_only,created_at,method
FALSE,4347026,Seattle Seahawks at Detroit Lions,2018-04-20T00:00:00,0.856,nfl,normal,,2018-10-28T13:00:00,2018-10-28T21:00:00,FALSE,FALSE,https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026,2018-04-20T00:47:37,0.87,Seahawks at Lions,2018-10-28T17:00:00,FALSE,NA,258,167,77,108,164,78,2362,FALSE,2018-08-24T21:53:39Z,QRCODE,505,48226,America/Detroit,TRUE,346,Detroit,"Detroit, MI 48226","Detroit, MI",MI,0.9029952,11,2000 Brush St.,ford-field,Ford Field,https://seatgeek.com/venues/ford-field/tickets,US,0,Ford Field,42.34,-83.0459,FALSE,2015-11-04T17:31:52Z,NONE
FALSE,4347041,Tampa Bay Buccaneers at Cincinnati Bengals,2018-04-20T00:00:00,0.806,nfl,normal,,2018-10-28T13:00:00,2018-10-28T21:00:00,FALSE,FALSE,https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041,2018-04-20T00:47:40,0.834,Buccaneers at Bengals,2018-10-28T17:00:00,FALSE,NA,818,69,33,65,372,34,236,FALSE,2018-08-24T21:53:39Z,QRCODE,515,45202,America/New_York,TRUE,1124,Cincinnati,"Cincinnati, OH 45202","Cincinnati, OH",OH,0.86166537,5,1 Paul Brown Stadium,paul-brown-stadium,Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,US,0,Paul Brown Stadium,39.0961,-84.5177,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
FALSE,4346940,Washington Redskins at New York Giants,2018-04-20T00:00:00,0.872,nfl,normal,,2018-10-28T13:00:00,2018-10-28T21:00:00,FALSE,FALSE,https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940,2018-04-20T00:47:17,0.885,Redskins at Giants,2018-10-28T17:00:00,FALSE,NA,1699,194,70,151,117,68,953,FALSE,2018-08-24T21:53:39Z,QRCODE,501,07073,America/New_York,TRUE,1587,East Rutherford,"East Rutherford, NJ 07073","East Rutherford, NJ",NJ,0.94873494,11,1 MetLife Stadium Drive,metlife-stadium,MetLife Stadium,https://seatgeek.com/venues/metlife-stadium/tickets,US,0,MetLife Stadium,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
FALSE,4347070,Baltimore Ravens at Carolina Panthers,2018-04-20T00:00:00,0.831,nfl,normal,,2018-10-28T13:00:00,2018-10-28T21:00:00,FALSE,FALSE,https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070,2018-04-20T00:47:45,0.852,Ravens at Panthers,2018-10-28T17:00:00,FALSE,NA,1216,223,100,177,141,100,564,FALSE,2018-08-24T21:53:39Z,QRCODE,517,28202,America/New_York,TRUE,1122,Charlotte,"Charlotte, NC 28202","Charlotte, NC",NC,0.8968222,8,800 South Mint Street,bank-of-america-stadium,Bank of America Stadium,https://seatgeek.com/venues/bank-of-america-stadium/tickets,US,0,Bank of America Stadium,35.2243,-80.8524,FALSE,2015-09-25T18:23:51Z,QRCODE_TM
FALSE,4347078,Cleveland Browns at Pittsburgh Steelers,2018-04-20T00:00:00,0.843,nfl,normal,,2018-10-28T13:00:00,2018-10-28T21:00:00,FALSE,FALSE,https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078,2018-04-20T00:47:46,0.856,Browns at Steelers,2018-10-28T17:00:00,FALSE,NA,695,267,127,249,122,127,941,FALSE,2018-08-24T21:53:39Z,QRCODE,508,15212,America/New_York,TRUE,1119,Pittsburgh,"Pittsburgh, PA 15212","Pittsburgh, PA",PA,0.9033526,7,100 Art Rooney Avenue,heinz-field,Heinz Field,https://seatgeek.com/venues/heinz-field/tickets,US,0,Heinz Field,40.4468,-80.0158,FALSE,2018-10-04T12:42:28Z,QRCODE
FALSE,4346981,Denver Broncos at Kansas City Chiefs,2018-04-20T00:00:00,0.865,nfl,normal,,2018-10-28T12:00:00,2018-10-28T21:00:00,FALSE,FALSE,https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981,2018-04-20T00:47:27,0.874,Broncos at Chiefs,2018-10-28T17:00:00,FALSE,NA,619,235.89807,127,190,363,141,541,FALSE,2018-08-24T21:53:39Z,QRCODE,616,64129,America/Chicago,TRUE,1128,Kansas City,"Kansas City, MO 64129","Kansas City, MO",MO,0.8827867,5,1 Arrowhead Drive,arrowhead-stadium,Arrowhead Stadium,https://seatgeek.com/venues/arrowhead-stadium/tickets,US,0,Arrowhead Stadium,39.0489,-94.4839,FALSE,2015-08-20T16:20:51Z,QRCODE_TM
FALSE,4347007,New York Jets at Chicago Bears,2018-04-20T00:00:00,0.862,nfl,normal,,2018-10-28T12:00:00,2018-10-28T21:00:00,FALSE,FALSE,https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007,2018-04-20T00:47:33,0.874,Jets at Bears,2018-10-28T17:00:00,FALSE,NA,948,271,102,257,63,135,536,FALSE,2018-08-24T21:53:39Z,QRCODE,602,60605,America/Chicago,TRUE,31,Chicago,"Chicago, IL 60605","Chicago, IL",IL,0.940013,7,1410 S. Museum Campus Drive,soldier-field,Soldier Field,https://seatgeek.com/venues/soldier-field/tickets,US,0,Soldier Field,41.8623,-87.6159,FALSE,2018-06-02T00:44:08Z,NONE
FALSE,4347153,Indianapolis Colts at Oakland Raiders,2018-04-20T00:00:00,0.818,nfl,normal,,2018-10-28T13:05:00,2018-10-29T00:05:00,FALSE,FALSE,https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153,2018-04-20T01:04:25,0.844,Colts at Raiders,2018-10-28T20:05:00,FALSE,NA,1816,99,35,97,261,35,299,FALSE,2018-08-24T21:53:39Z,QRCODE,807,94621,America/Los_Angeles,TRUE,14,Oakland,"Oakland, CA 94621","Oakland, CA",CA,0.7817843,9,7000 Coliseum Way,oakland-alameda-county-coliseum,Oakland-Alameda County Coliseum,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,US,0,Oakland-Alameda County Coliseum,37.7469,-122.201,FALSE,2015-06-24T00:00:00Z,PDF417
FALSE,4346921,Green Bay Packers at Los Angeles Rams,2018-04-20T00:00:00,0.896,nfl,normal,,2018-10-28T13:25:00,2018-10-29T00:25:00,FALSE,FALSE,https://seatgeek.com/packers-at-rams-tickets/10-28-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346921,2018-04-20T00:47:14,0.896,Packers at Rams,2018-10-28T20:25:00,FALSE,NA,1068,312,150,251,254,162,886,FALSE,2018-08-24T21:53:39Z,QRCODE,0,90037,America/Los_Angeles,TRUE,51012,Los Angeles,"Los Angeles, CA 90037","Los Angeles, CA",CA,0.86898464,8,3911 S Figueroa St,los-angeles-memorial-coliseum-1,Los Angeles Memorial Coliseum,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,US,0,Los Angeles Memorial Coliseum,34.0138,-118.288,FALSE,2018-08-23T17:59:28Z,QRCODE
FALSE,4347101,San Francisco 49ers at Arizona Cardinals,2018-04-20T00:00:00,0.845,nfl,normal,,2018-10-28T13:25:00,2018-10-29T00:25:00,FALSE,FALSE,https://seatgeek.com/49ers-at-cardinals-tickets/10-28-2018-glendale-arizona-state-farm-stadium/nfl/4347101,2018-04-20T00:47:51,0.862,49ers at Cardinals,2018-10-28T20:25:00,FALSE,NA,1125,88,38,66,417,38,604,FALSE,2018-08-24T21:53:39Z,QRCODE,753,85305,America/Phoenix,TRUE,43,Glendale,"Glendale, AZ 85305","Glendale, AZ",AZ,0.93402725,9,1 Cardinals Drive,state-farm-stadium,State Farm Stadium,https://seatgeek.com/venues/state-farm-stadium/tickets,US,0,State Farm Stadium,33.5294,-112.262,FALSE,2015-12-21T17:26:05Z,NONE
